"Path","LineNumber","Text"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\(tabs)\profile.js","679","<Text style={{ color: C.text }}>• {ev.title}</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\(tabs)\spot.js","610","<Text style={s.soft}>/ {c.name}</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\(tabs)\spot.js","632","<Text style={[s.footNote, { marginTop: 6 }]}>Noytrix · smart picks</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\(tabs)\spot.js","671","<Text style={s.soft}>/ {it.name}</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\(tabs)\spot.js","698","<Text style={s.soft}>/ {coin.name}</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\(tabs)\spot.js","744","<Text style={s.soft}>/ {it.name}</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","105","<Text style={s.title}>Авторизация</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","120","<Text style={s.label}>Ник</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","125","<Text style={s.label}>E-mail</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","128","<Text style={s.label}>Пароль</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","133","<Text style={s.label}>Повтори пароль</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","151","<Text style={s.btnText}>Войти через Google</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","159","<Text style={[s.label, {marginTop:4}]}>Код из письма</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\email.js","166","<Text style={{color:t.soft}}>← Назад к регистрации</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\forgot.js","27","<Text style={s.title}>Восстановление пароля</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\forgot.js","29","<Text style={s.btnText}>Отправить код</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\googleLogin.js","147","<Text style={{ color: ""#E9EEFF"", fontSize: 16 }}>Войти через Google</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\reset.js","29","<Text style={s.title}>Новый пароль</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\reset.js","33","<Text style={s.btnText}>Сохранить</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","301","<Text style={s.title}>Вход / Регистрация</Text>"
